ra,dec,mag_model_hst-f814w,mag_model_uvista-y,mag_model_uvista-j,mag_model_uvista-h,mag_model_uvista-ks,mag_model_irac-ch1,mag_model_irac-ch2,mag_model_f115w,mag_model_f150w,mag_model_f277w,mag_model_f444w,flux_model_hst-f814w,flux_model_uvista-y,flux_model_uvista-j,flux_model_uvista-h,flux_model_uvista-ks,flux_model_irac-ch1,flux_model_irac-ch2,flux_model_f115w,flux_model_f150w,flux_model_f277w,flux_model_f444w,flux_err-cal_model_hst-f814w,flux_err-cal_model_uvista-y,flux_err-cal_model_uvista-j,flux_err-cal_model_uvista-h,flux_err-cal_model_uvista-ks,flux_err-cal_model_irac-ch1,flux_err-cal_model_irac-ch2,flux_err-cal_model_f115w,flux_err-cal_model_f150w,flux_err-cal_model_f277w,flux_err-cal_model_f444w,zpdf_med,mass_med,ssfr_med
149.7922774,2.140848109,26.93085938,25.7636306,25.4571712,25.21623535,24.62448906,25.06502332,25.52671095,25.95140317,25.8068626,24.4173362,24.13837691,0.061327639,0.179699868,0.238304104,0.29751294,0.51310279,0.341972099,0.223519604,0.151160643,0.172685137,0.62096271,0.802877402,0.012993897,0.064026181,0.044464134,0.050448695,0.061916366,0.140984597,0.126655173,0.022229463,0.017337155,0.010371957,0.012370134,3.4474,9.82096,-8.94413
149.8022344,2.137412855,25.08911999,24.82838789,24.64586043,24.56472207,23.96339952,23.5285318,23.5019951,24.77904255,24.65245548,23.83628104,23.55868873,0.334466021,0.425250509,0.503101751,0.542139653,0.943279054,1.407950158,1.44278614,0.445023538,0.500055041,1.060443623,1.369381663,0.041354916,0.087210704,0.073677296,0.087262453,0.118447705,0.142643445,0.150582276,0.064290417,0.051550633,0.027813494,0.032903125,3.8914,9.76185,-8.11167
149.770547,2.148974748,25.90096582,25.74094587,25.33416317,24.58429699,23.84330543,24.00475737,23.69529302,25.57820149,24.81063727,23.76774303,23.48065215,0.158348398,0.183493908,0.266891492,0.532452909,1.053605011,0.908023421,1.207487909,0.213166721,0.432260044,1.129543053,1.471428413,0.025843088,0.069982229,0.053569235,0.062239326,0.081310792,0.154432012,0.131759987,0.02931441,0.023781718,0.01542297,0.018171913,3.1606,9.92441,-8.74787
149.8189367,2.131367632,25.06564935,24.26244948,24.12242891,23.25396342,22.94290211,22.76851983,22.59219039,24.81934293,23.73274543,22.72066498,22.30667313,0.341774975,0.716176733,0.814757629,1.813070257,2.414566423,2.835254626,3.335215063,0.428807948,1.166545893,2.963016071,4.338411557,0.018181816,0.110532804,0.081320331,0.090994517,0.10924673,0.153661141,0.168185637,0.02000564,0.025227404,0.031722424,0.046204583,2.815,10.50031,-9.40061
149.7743774,2.146933312,25.68693992,,,,,,,25.34965729,24.75239602,24.12259505,23.99088182,0.19285195,0.000127377,4.23E-05,0.000336655,0.000308078,0.000813615,0.001451159,0.263109835,0.456080592,0.814632968,0.919702298,0.012566986,0.062983544,0.044287,0.050912336,0.063608106,0.167170157,0.128718767,0.023969084,0.019243347,0.010190316,0.011488809,2.8333,9.55018,-8.52348
149.7749286,2.147436159,24.69844418,24.83990103,24.75470659,24.2340148,23.57936888,24.3059495,23.68602575,24.61332995,24.35528111,23.50475253,23.23560979,0.479316444,0.420764981,0.455111032,0.735180673,1.343545713,0.688050321,1.217838502,0.518403612,0.657487582,1.439126554,1.84397948,0.022145709,0.069226517,0.04982363,0.056897928,0.071200239,0.151685037,0.13290458,0.024146713,0.019220662,0.016258478,0.019319714,3.3755,9.97087,-8.59789
149.8022364,2.138338342,26.07157857,25.61558689,25.52354382,25.40578481,24.76475954,24.18629542,24.26810905,25.64270624,25.53312946,24.51159493,24.72426107,0.135322052,0.205951636,0.22417257,0.249853867,0.45091656,0.768213317,0.712453263,0.200871122,0.222202129,0.569327323,0.46805358,0.042908481,0.090621922,0.077960738,0.092886357,0.126403851,0.142617033,0.15273349,0.064531772,0.051915705,0.031606174,0.030110964,4.7001,9.54381,-8.21551
149.858335,2.118000316,25.21316298,25.21376581,25.0154167,24.33674928,23.88483354,24.48963579,24.45745632,25.00889763,24.61842146,23.83329963,23.64376651,0.298356021,0.298190414,0.357959026,0.668806197,1.014066846,0.580959268,0.598435668,0.360114782,0.515978276,1.063359577,1.26617401,0.006821417,0.054273707,0.039907397,0.046242725,0.059586671,0.156851282,0.117322544,0.014751689,0.012292524,0.012824931,0.014773078,3.2575,9.81453,-8.68102
149.7689484,2.151142338,25.55436276,25.48485081,24.81753829,24.40895925,23.68370583,24.00662006,23.78987644,25.67626202,24.89435758,23.58657604,23.33056346,0.217898828,0.232305598,0.429521279,0.625772251,1.220443467,0.906466956,1.106749727,0.194757949,0.400181464,1.334656741,1.689563882,0.065898995,0.091651505,0.068678107,0.078384298,0.096725645,0.177548743,0.150426881,0.057931144,0.047639061,0.024363007,0.028188099,3.6315,9.91873,-8.35142
149.820362,2.132537491,25.08496705,24.80816904,24.7684134,24.14062836,23.62225421,23.91297166,23.8134327,24.79677801,24.37844784,23.57436471,23.52549438,0.335747803,0.433243827,0.449401625,0.801214233,1.291511615,0.988123746,1.082996171,0.437813143,0.643607158,1.349752423,1.411894509,0.064613054,0.100543704,0.075164932,0.084965404,0.103352289,0.148264193,0.154541521,0.043405413,0.04270934,0.025686523,0.028321576,3.2227,9.77538,-8.45883
